	H5-B-T	H4-A-B	H6-A-M	H5-B-B	H5-B-M	H4-C-M	H7-B-T	H5-C-B	H7-C-M	H2-A-T	H2-C-B	H4-A-M	H6-A-B	H2-B-T	H6-B-M	H4-B-M	H5-C-T	H4-B-B	H2-B-M	H6-B-B	H4-C-T	H6-C-B	H2-B-B	H7-C-T	H4-B-T	H6-C-T	H4-A-T	H3-A-T	H3-B-B	H3-C-M	H2-C-M	H4-C-B	H6-A-T	H3-A-M	H3-C-T	H2-A-M	H2-A-B	H5-A-M	H2-C-T	H6-C-M	H3-B-M	H3-C-B	H3-B-T	H7-B-B	H3-A-B	H7-B-M
H4-C-T	0.33757349378	0.34783344175	0.324786544829	0.352810973118	0.373768461934	0.288879041897	0.350916184389	0.357581529304	0.398038334509	0.392777825614	0.359475700094	0.335111432486	0.366694113437	0.346681941965	0.335063400419	0.274507757241	0.340894110365	0.329116683611	0.411201218158	0.329782238992	0.0	0.345229698736	0.366446519616	0.338984090272	0.31349249256	0.327722894712	0.307851088381	0.343103498654	0.349847036263	0.324736071966	0.3295324542	0.376278424868	0.370576311887	0.313812312765	0.368599142598	0.373824632709	0.360635807782	0.362061660519	0.332087672914	0.371187114304	0.36307595342	0.378408769437	0.338448178666	0.416939815914	0.363503099893	0.383357347436
H6-C-B	0.250065532142	0.400720384675	0.195711064692	0.299121718364	0.303868624425	0.317381122378	0.367733797871	0.358757319651	0.331276569509	0.311791638487	0.337398236765	0.381178717698	0.209419639313	0.284232493804	0.229786663611	0.284350934522	0.230171281367	0.354509301588	0.368426660818	0.296389311218	0.345229698736	0.0	0.306390346151	0.369131304535	0.344022988459	0.267812378979	0.368838643646	0.333970076867	0.380618220492	0.356079782625	0.31446784784	0.365177975636	0.306478610477	0.353513599678	0.388675567666	0.348314865209	0.318944603872	0.389236403701	0.271257416753	0.285379918134	0.34011711049	0.313469398749	0.349316261191	0.352620477154	0.353325280046	0.354394331402
H2-B-B	0.351152005322	0.390722365269	0.290723748874	0.405109534324	0.377609173409	0.362644986951	0.395062472195	0.370892674019	0.317859282865	0.321510776806	0.307974889938	0.368154351197	0.327515512288	0.291245324728	0.300641874307	0.382131565306	0.341627157542	0.370304573156	0.26304759114	0.317825721561	0.366446519616	0.306390346151	0.0	0.404503617383	0.363361573038	0.291938944217	0.370188890532	0.350274067237	0.358983230327	0.355724107425	0.318349071159	0.399029518742	0.323288448316	0.387947093339	0.396232859581	0.354433206024	0.287357429683	0.372615899539	0.380199486506	0.289339584529	0.350753830631	0.366606860692	0.329244823017	0.306133565827	0.365108632987	0.356299667097
H7-C-T	0.351487949244	0.374875698111	0.338248140522	0.405832101069	0.383834238024	0.336832136777	0.301103617003	0.393214520338	0.343235471885	0.384230463054	0.393258740863	0.358778322829	0.388745926733	0.381899692127	0.354169653777	0.334456407216	0.373460009992	0.381034803937	0.411443340566	0.379598855173	0.338984090272	0.369131304535	0.404503617383	0.0	0.368776769347	0.357189054984	0.345423512016	0.370262328765	0.397578446482	0.371859946144	0.373541242335	0.409018818805	0.360663277757	0.365327363911	0.37809244334	0.365223492525	0.394264449074	0.358101264369	0.359016656287	0.358654668369	0.407189116171	0.389963485947	0.363211651535	0.356135917236	0.37751674615	0.337961455401
H4-B-T	0.302227652773	0.312647018101	0.284946323176	0.343872446939	0.345442920437	0.336215784498	0.357088615191	0.330365707901	0.341164344717	0.379001529118	0.403337359025	0.322287064185	0.344923237177	0.357009955945	0.335433225656	0.250093336909	0.330711735136	0.343954373747	0.384860645981	0.351961104379	0.31349249256	0.344022988459	0.363361573038	0.368776769347	0.0	0.307563186346	0.312788164965	0.299661207857	0.331813577056	0.303149370555	0.335580662286	0.383079696333	0.308869836298	0.345744930379	0.373068495432	0.342804973844	0.366632819978	0.304168669345	0.363628433723	0.350284775604	0.365131894695	0.377822244878	0.328588831258	0.372349343616	0.353575961854	0.360567984127
H6-C-T	0.310058896968	0.352192063217	0.243582226858	0.371423413737	0.352411553008	0.304682346117	0.368757340005	0.344303981401	0.308932837827	0.320501692253	0.325775973746	0.347720470158	0.315843708175	0.271204885339	0.282048718599	0.290855765188	0.288767033905	0.337198900527	0.327540745716	0.298329216281	0.327722894712	0.267812378979	0.291938944217	0.357189054984	0.307563186346	0.0	0.34209310626	0.303607418416	0.337310858651	0.327280126455	0.29217892647	0.387595948415	0.270268983859	0.348020929578	0.392671428004	0.31465664809	0.310771450505	0.323554931116	0.316103753475	0.27963556748	0.338936922322	0.35818394284	0.325343530494	0.347870216052	0.322686196288	0.326888763981
H4-A-T	0.351055506558	0.31075074982	0.31536016479	0.323752872704	0.369453919683	0.363096079344	0.344347737146	0.362842866909	0.368953601104	0.392708989414	0.417632989482	0.314880006903	0.389777137057	0.36411203213	0.341394401574	0.291075090708	0.360122102883	0.316068207437	0.390099212325	0.380259239125	0.307851088381	0.368838643646	0.370188890532	0.345423512016	0.312788164965	0.34209310626	0.0	0.346077199149	0.347080566761	0.317242802133	0.391594793933	0.358884564909	0.323731275589	0.349546394561	0.337124480589	0.375087937602	0.363139932773	0.311780012215	0.372557628141	0.388805565955	0.380416242631	0.357569377711	0.347784002672	0.387102067488	0.330518804938	0.371221139163
H3-A-T	0.321936669225	0.365014148841	0.280331413379	0.353316578646	0.372993794722	0.31536990617	0.367529429865	0.369811636716	0.346840113076	0.367534552255	0.363896901581	0.333913559902	0.344174898978	0.345873194406	0.303640771006	0.32130516384	0.321251469514	0.368860502952	0.361126068084	0.355314561313	0.343103498654	0.333970076867	0.350274067237	0.370262328765	0.299661207857	0.303607418416	0.346077199149	0.0	0.304762118467	0.302221929529	0.316175712331	0.396361026827	0.290987700952	0.310297797734	0.361917272026	0.310535286548	0.332381443406	0.345144113936	0.326078321251	0.347873803594	0.31859513146	0.339429252178	0.292141214933	0.363133728996	0.326415687102	0.342647910718
H3-B-B	0.395997918287	0.344630294111	0.343748496174	0.389733216025	0.415612834137	0.317532489403	0.387345265704	0.336854444863	0.400939498292	0.416376748041	0.373995076476	0.346178420153	0.397074686825	0.35836054119	0.341844290188	0.355435778406	0.352935355308	0.354862964511	0.373932035627	0.348942446816	0.349847036263	0.380618220492	0.358983230327	0.397578446482	0.331813577056	0.337310858651	0.347080566761	0.304762118467	0.0	0.308252652307	0.360587580325	0.368715709284	0.354172682848	0.342994143737	0.35646312308	0.36202533743	0.347484529259	0.357331833762	0.388340111654	0.368732285794	0.335936764057	0.358019339078	0.300651072287	0.402149392058	0.26959381394	0.385818070496
H3-C-M	0.350886108829	0.334342047575	0.297260537628	0.376240329676	0.380596199809	0.313866670124	0.367921372276	0.358327116611	0.362806727849	0.39960125397	0.369427943273	0.339310917983	0.333562005128	0.355478800391	0.319166188864	0.326650950222	0.333563378988	0.356956691536	0.379784766078	0.331289467042	0.324736071966	0.356079782625	0.355724107425	0.371859946144	0.303149370555	0.327280126455	0.317242802133	0.302221929529	0.308252652307	0.0	0.323002248911	0.379184762253	0.344189045817	0.284981500439	0.33268016147	0.332520487964	0.346086533553	0.325480843869	0.33948219215	0.354819185509	0.319326391981	0.314487836522	0.281274403111	0.380006301222	0.328401386729	0.362331153313
H2-C-M	0.309892693476	0.383438646146	0.306741790762	0.408973528746	0.373737774804	0.300694933389	0.363086682419	0.376753366445	0.341187668679	0.356304588811	0.290154272511	0.38195712364	0.333818202297	0.287766017281	0.277799218859	0.317620726061	0.309128835088	0.413334755389	0.328830497091	0.259708276233	0.3295324542	0.31446784784	0.318349071159	0.373541242335	0.335580662286	0.29217892647	0.391594793933	0.316175712331	0.360587580325	0.323002248911	0.0	0.428940346537	0.328552328637	0.356223161045	0.422422948638	0.2814405319	0.290934908675	0.356685978428	0.25918982236	0.310210593077	0.277813374688	0.374444605294	0.29198185683	0.359630124611	0.374884808674	0.306043208585
H4-C-B	0.363007282119	0.359826578985	0.361199076443	0.345153779393	0.395679001857	0.385560009945	0.414987226345	0.318345394631	0.416527167574	0.465014781877	0.422734125053	0.387833034079	0.39965799771	0.372955556075	0.344146784801	0.335534298484	0.344040137253	0.317032346237	0.459263572269	0.419033624145	0.376278424868	0.365177975636	0.399029518742	0.409018818805	0.383079696333	0.387595948415	0.358884564909	0.396361026827	0.368715709284	0.379184762253	0.428940346537	0.0	0.389729565778	0.40342112982	0.41175626202	0.431826222877	0.443771205098	0.418855319491	0.408619304768	0.403506496148	0.414260113132	0.418029285367	0.361440109908	0.439595377192	0.385442875837	0.434927890238
H6-A-T	0.312459697331	0.351429484495	0.253968617145	0.368852139471	0.332520479738	0.318825370598	0.351108388521	0.364930443562	0.307386045507	0.343925716231	0.3782296295	0.346779729861	0.343192040239	0.302806867551	0.29201093303	0.332371088142	0.315560827034	0.363938303138	0.308230966844	0.328392746706	0.370576311887	0.306478610477	0.323288448316	0.360663277757	0.308869836298	0.270268983859	0.323731275589	0.290987700952	0.354172682848	0.344189045817	0.328552328637	0.389729565778	0.0	0.355374245424	0.381573074664	0.313489885224	0.326315505579	0.330861823454	0.362617483975	0.303688013542	0.337519980583	0.376024332	0.333803722664	0.311274981297	0.35364342465	0.322717415954
H3-A-M	0.34010801574	0.357417193855	0.30228345529	0.360625814092	0.39018582437	0.306972507942	0.378287261648	0.400586582924	0.376551095609	0.39839935109	0.378379065667	0.357738643018	0.353094227187	0.35698110278	0.320939801133	0.31599239629	0.327109816439	0.373180359042	0.376128184159	0.36360523961	0.313812312765	0.353513599678	0.387947093339	0.365327363911	0.345744930379	0.348020929578	0.349546394561	0.310297797734	0.342994143737	0.284981500439	0.356223161045	0.40342112982	0.355374245424	0.0	0.353048835781	0.336790308086	0.332681743827	0.361508684176	0.319656753661	0.345554875348	0.342062745203	0.311114824783	0.299610970675	0.404208637973	0.327232930663	0.366820301102
H3-C-T	0.377571399208	0.382526399455	0.347398157401	0.387709818375	0.378654864563	0.379603167336	0.372018444277	0.398052562157	0.409564844726	0.397505418399	0.426783337398	0.368402935835	0.402237261163	0.396369585066	0.385499708729	0.344986384805	0.387400277824	0.414578674076	0.409013017744	0.412860400189	0.368599142598	0.388675567666	0.396232859581	0.37809244334	0.373068495432	0.392671428004	0.337124480589	0.361917272026	0.35646312308	0.33268016147	0.422422948638	0.41175626202	0.381573074664	0.353048835781	0.0	0.401488733507	0.409046950226	0.364946058065	0.389447661378	0.36608880738	0.37193878389	0.303726358724	0.353921440155	0.413123668703	0.324633523286	0.421005162655
H2-A-M	0.326695594618	0.387376991798	0.319906057122	0.414175168042	0.390953086169	0.332507079507	0.375171930774	0.405505757068	0.33065139913	0.371841110573	0.337272366608	0.385982654696	0.33737070836	0.323064396191	0.303138400609	0.340053279515	0.338660105746	0.413747214635	0.332360254729	0.327707766985	0.373824632709	0.348314865209	0.354433206024	0.365223492525	0.342804973844	0.31465664809	0.375087937602	0.310535286548	0.36202533743	0.332520487964	0.2814405319	0.431826222877	0.313489885224	0.336790308086	0.401488733507	0.0	0.317783128402	0.326278127169	0.283459863768	0.335986906457	0.308793914048	0.37742880585	0.329796149159	0.373788630456	0.378225657127	0.324113329752
H2-A-B	0.368587928401	0.378755703373	0.306239563948	0.412017305403	0.416995702823	0.310970270156	0.397518269511	0.392871920388	0.332887958583	0.327670502731	0.327959032465	0.382430247529	0.336699179796	0.321613624855	0.321785257535	0.369270334146	0.367292715667	0.395732787988	0.286461275618	0.309146848822	0.360635807782	0.318944603872	0.287357429683	0.394264449074	0.366632819978	0.310771450505	0.363139932773	0.332381443406	0.347484529259	0.346086533553	0.290934908675	0.443771205098	0.326315505579	0.332681743827	0.409046950226	0.317783128402	0.0	0.34197803043	0.356784759897	0.315132281918	0.329135391973	0.3503232211	0.342365852958	0.351928256392	0.337745282056	0.349939043943
